48_1_2_5_10 data rows count_%errors 
Er               w_h              k_min 0.01       k_min 0.02       k_min 0.05       k_min 0.10
1.000000e+000    5.000000e-001    7.003469e+000    4.912864e+000    2.807157e+000    1.772387e+000 
1.000000e+000    1.000000e+000    7.913038e+000    5.620726e+000    3.335850e+000    2.058827e+000 
1.000000e+000    2.000000e+000    9.309402e+000    6.581016e+000    3.892217e+000    2.441553e+000 
1.000000e+000    3.000000e+000    9.875655e+000    7.167730e+000    4.386054e+000    2.760753e+000 
1.000000e+000    4.000000e+000    1.063992e+001    7.742152e+000    4.754918e+000    3.002104e+000 
1.000000e+000    5.000000e+000    1.112252e+001    8.183792e+000    5.030327e+000    3.240483e+000 
2.000000e+000    5.000000e-001    6.097273e+000    4.183462e+000    2.383456e+000    1.491591e+000 
2.000000e+000    1.000000e+000    6.932319e+000    4.795978e+000    2.790125e+000    1.747284e+000 
2.000000e+000    2.000000e+000    7.992468e+000    5.606135e+000    3.276894e+000    2.051537e+000 
2.000000e+000    3.000000e+000    8.769035e+000    6.194117e+000    3.683314e+000    2.326701e+000 
2.000000e+000    4.000000e+000    9.286604e+000    6.689598e+000    4.003365e+000    2.518808e+000 
2.000000e+000    5.000000e+000    9.792813e+000    7.105537e+000    4.322398e+000    2.719363e+000 
3.000000e+000    5.000000e-001    5.206576e+000    3.758869e+000    2.175677e+000    1.410190e+000 
3.000000e+000    1.000000e+000    6.539234e+000    4.509531e+000    2.574699e+000    1.604895e+000 
3.000000e+000    2.000000e+000    7.516145e+000    5.192334e+000    3.013217e+000    1.908642e+000 
3.000000e+000    3.000000e+000    8.225371e+000    5.807362e+000    3.393582e+000    2.147271e+000 
3.000000e+000    4.000000e+000    8.807099e+000    6.306452e+000    3.715119e+000    2.342613e+000 
3.000000e+000    5.000000e+000    9.317079e+000    6.732578e+000    3.974661e+000    2.487935e+000 
4.000000e+000    5.000000e-001    4.966069e+000    3.651603e+000    2.136095e+000    1.367292e+000 
4.000000e+000    1.000000e+000    6.309258e+000    4.324223e+000    2.435863e+000    1.512597e+000 
4.000000e+000    2.000000e+000    7.260407e+000    4.992609e+000    2.889996e+000    1.832706e+000 
4.000000e+000    3.000000e+000    7.927445e+000    5.608107e+000    3.255789e+000    2.029423e+000 
4.000000e+000    4.000000e+000    8.562373e+000    6.050561e+000    3.553715e+000    2.236199e+000 
4.000000e+000    5.000000e+000    9.013893e+000    6.512006e+000    3.827228e+000    2.385985e+000 
6.000000e+000    5.000000e-001    5.402571e+000    3.560181e+000    2.003092e+000    1.318374e+000 
6.000000e+000    1.000000e+000    6.090446e+000    4.117255e+000    2.329863e+000    1.456406e+000 
6.000000e+000    2.000000e+000    6.971705e+000    4.840235e+000    2.753167e+000    1.737294e+000 
6.000000e+000    3.000000e+000    7.710717e+000    5.400192e+000    3.097722e+000    1.928104e+000 
6.000000e+000    4.000000e+000    8.274373e+000    5.851225e+000    3.396798e+000    2.100813e+000 
6.000000e+000    5.000000e+000    8.748290e+000    6.251971e+000    3.651524e+000    2.258566e+000 
8.000000e+000    5.000000e-001    5.245255e+000    3.470406e+000    1.960648e+000    1.286047e+000 
8.000000e+000    1.000000e+000    5.900530e+000    4.009972e+000    2.263759e+000    1.426725e+000 
8.000000e+000    2.000000e+000    6.828507e+000    4.731728e+000    2.686117e+000    1.682230e+000 
8.000000e+000    3.000000e+000    7.537829e+000    5.272201e+000    3.007964e+000    1.882857e+000 
8.000000e+000    4.000000e+000    8.068030e+000    5.728868e+000    3.316074e+000    2.033169e+000 
8.000000e+000    5.000000e+000    8.614456e+000    6.112902e+000    3.552390e+000    2.191651e+000 
1.000000e+001    5.000000e-001    5.138529e+000    3.416976e+000    1.932739e+000    1.267563e+000 
1.000000e+001    1.000000e+000    5.838561e+000    3.944496e+000    2.222550e+000    1.405867e+000 
1.000000e+001    2.000000e+000    6.755675e+000    4.666927e+000    2.632273e+000    1.642869e+000 
1.000000e+001    3.000000e+000    7.430171e+000    5.185837e+000    2.963569e+000    1.845979e+000 
1.000000e+001    4.000000e+000    7.969083e+000    5.668265e+000    3.262210e+000    1.985952e+000 
1.000000e+001    5.000000e+000    8.507882e+000    6.013056e+000    3.491046e+000    2.141937e+000 
1.200000e+001    5.000000e-001    5.088839e+000    3.372018e+000    1.917776e+000    1.253674e+000 
1.200000e+001    1.000000e+000    5.789227e+000    3.904067e+000    2.195677e+000    1.392970e+000 
1.200000e+001    2.000000e+000    6.661590e+000    4.631477e+000    2.597823e+000    1.618235e+000 
1.200000e+001    3.000000e+000    7.349295e+000    5.140247e+000    2.930710e+000    1.823687e+000 
1.200000e+001    4.000000e+000    7.921556e+000    5.620334e+000    3.223649e+000    1.964313e+000 
1.200000e+001    5.000000e+000    8.445035e+000    5.965370e+000    3.454563e+000    2.108834e+000 
