48_1_2_5_10 data rows count_%errors 
Er               w_h              k_min 0.01       k_min 0.02       k_min 0.05       k_min 0.10
1.000000e+000    5.000000e-001    7.003686e+000    4.912858e+000    2.807137e+000    1.772364e+000 
1.000000e+000    1.000000e+000    7.913172e+000    5.620778e+000    3.335862e+000    2.058844e+000 
1.000000e+000    2.000000e+000    9.309518e+000    6.581004e+000    3.892219e+000    2.441554e+000 
1.000000e+000    3.000000e+000    9.875676e+000    7.167756e+000    4.386060e+000    2.760757e+000 
1.000000e+000    4.000000e+000    1.064025e+001    7.742252e+000    4.754929e+000    3.002116e+000 
1.000000e+000    5.000000e+000    1.112231e+001    8.183685e+000    5.030309e+000    3.240470e+000 
2.000000e+000    5.000000e-001    1.283311e+001    8.530605e+000    1.524549e+000    1.167099e+000 
2.000000e+000    1.000000e+000    1.165100e+001    2.635151e+000    1.964895e+000    1.410096e+000 
2.000000e+000    2.000000e+000    8.565904e+000    3.551655e+000    2.629053e+000    1.840951e+000 
2.000000e+000    3.000000e+000    4.773226e+000    4.125994e+000    3.030715e+000    2.144142e+000 
2.000000e+000    4.000000e+000    5.091734e+000    4.465504e+000    3.279005e+000    2.343342e+000 
2.000000e+000    5.000000e+000    5.348918e+000    4.635002e+000    3.402478e+000    2.436561e+000 
3.000000e+000    5.000000e-001    1.021824e+001    7.140289e+000    1.411485e+000    1.039723e+000 
3.000000e+000    1.000000e+000    9.066709e+000    2.404953e+000    1.844228e+000    1.328375e+000 
3.000000e+000    2.000000e+000    3.480408e+000    3.092639e+000    2.373021e+000    1.717117e+000 
3.000000e+000    3.000000e+000    3.874816e+000    3.407755e+000    2.620327e+000    1.921700e+000 
3.000000e+000    4.000000e+000    4.046112e+000    3.518304e+000    2.717371e+000    1.990888e+000 
3.000000e+000    5.000000e+000    4.133172e+000    3.561343e+000    2.729555e+000    1.995665e+000 
4.000000e+000    5.000000e-001    8.498017e+000    6.011503e+000    1.361838e+000    NaN 
4.000000e+000    1.000000e+000    7.447556e+000    2.284270e+000    1.760394e+000    1.285662e+000 
4.000000e+000    2.000000e+000    3.139180e+000    2.814789e+000    2.201676e+000    1.620383e+000 
4.000000e+000    3.000000e+000    3.375774e+000    2.977528e+000    2.348583e+000    1.768888e+000 
4.000000e+000    4.000000e+000    3.451369e+000    3.026270e+000    2.365911e+000    1.786563e+000 
4.000000e+000    5.000000e+000    3.453332e+000    2.995935e+000    2.326519e+000    1.741641e+000 
6.000000e+000    5.000000e-001    6.767697e+000    4.924070e+000    1.283314e+000    NaN 
6.000000e+000    1.000000e+000    5.951545e+000    2.019425e+000    1.622478e+000    1.223231e+000 
6.000000e+000    2.000000e+000    2.633118e+000    2.382398e+000    1.914524e+000    1.458851e+000 
6.000000e+000    3.000000e+000    2.747328e+000    2.442842e+000    1.947331e+000    1.488297e+000 
6.000000e+000    4.000000e+000    2.746895e+000    2.417909e+000    1.906974e+000    1.499243e+000 
6.000000e+000    5.000000e+000    2.688431e+000    2.356617e+000    1.824517e+000    1.498620e+000 
8.000000e+000    5.000000e-001    6.056178e+000    4.584976e+000    1.203407e+000    NaN 
8.000000e+000    1.000000e+000    5.379522e+000    1.847066e+000    1.484442e+000    1.162795e+000 
8.000000e+000    2.000000e+000    4.164131e+000    2.063885e+000    1.718938e+000    1.352212e+000 
8.000000e+000    3.000000e+000    2.323783e+000    2.080759e+000    1.704489e+000    1.497493e+000 
8.000000e+000    4.000000e+000    2.287616e+000    1.995479e+000    1.601696e+000    1.497031e+000 
8.000000e+000    5.000000e+000    2.201331e+000    1.924104e+000    1.499758e+000    1.496774e+000 
1.000000e+001    5.000000e-001    5.612378e+000    4.432175e+000    1.127820e+000    NaN 
1.000000e+001    1.000000e+000    5.047643e+000    3.697264e+000    1.401997e+000    1.100024e+000 
1.000000e+001    2.000000e+000    4.123825e+000    1.855918e+000    1.509126e+000    1.251938e+000 
1.000000e+001    3.000000e+000    1.976107e+000    1.841107e+000    1.499597e+000    1.495334e+000 
1.000000e+001    4.000000e+000    1.933457e+000    1.761124e+000    1.498965e+000    1.495479e+000 
1.000000e+001    5.000000e+000    1.864826e+000    1.627893e+000    1.498651e+000    1.495910e+000 
1.200000e+001    5.000000e-001    5.380418e+000    4.350464e+000    1.074120e+000    NaN 
1.200000e+001    1.000000e+000    4.877589e+000    3.761135e+000    1.327715e+000    1.039363e+000 
1.200000e+001    2.000000e+000    4.047534e+000    1.727177e+000    1.412454e+000    1.153972e+000 
1.200000e+001    3.000000e+000    3.491125e+000    1.646119e+000    1.498255e+000    1.494411e+000 
1.200000e+001    4.000000e+000    1.760336e+000    1.499926e+000    1.498040e+000    1.494897e+000 
1.200000e+001    5.000000e+000    1.586084e+000    1.401872e+000    1.056012e+000    NaN 
