48_1_2_5_10 data rows count_%errors 
Er               w_h              k_min 0.01       k_min 0.02       k_min 0.05       k_min 0.10
1.000000e+000    5.000000e-001    1.477675e+000    1.305400e+000    NaN    NaN 
1.000000e+000    1.000000e+000    1.460599e+000    1.242589e+000    NaN    NaN 
1.000000e+000    2.000000e+000    1.356346e+000    1.039037e+000    NaN    NaN 
1.000000e+000    3.000000e+000    1.240760e+000    NaN    NaN    NaN 
1.000000e+000    4.000000e+000    1.130257e+000    NaN    NaN    NaN 
1.000000e+000    5.000000e+000    1.022825e+000    NaN    NaN    NaN 
2.000000e+000    5.000000e-001    1.712080e+000    1.368973e+000    NaN    NaN 
2.000000e+000    1.000000e+000    1.464170e+000    1.247448e+000    NaN    NaN 
2.000000e+000    2.000000e+000    1.383242e+000    1.057061e+000    NaN    NaN 
2.000000e+000    3.000000e+000    1.278152e+000    NaN    NaN    NaN 
2.000000e+000    4.000000e+000    1.168041e+000    NaN    NaN    NaN 
2.000000e+000    5.000000e+000    1.058991e+000    NaN    NaN    NaN 
3.000000e+000    5.000000e-001    1.478758e+000    1.322638e+000    NaN    NaN 
3.000000e+000    1.000000e+000    1.459717e+000    1.246841e+000    NaN    NaN 
3.000000e+000    2.000000e+000    1.378241e+000    1.063516e+000    NaN    NaN 
3.000000e+000    3.000000e+000    1.270147e+000    NaN    NaN    NaN 
3.000000e+000    4.000000e+000    1.158849e+000    NaN    NaN    NaN 
3.000000e+000    5.000000e+000    1.043444e+000    NaN    NaN    NaN 
4.000000e+000    5.000000e-001    1.577771e+000    1.335253e+000    NaN    NaN 
4.000000e+000    1.000000e+000    1.461079e+000    1.244305e+000    NaN    NaN 
4.000000e+000    2.000000e+000    1.369987e+000    1.045382e+000    NaN    NaN 
4.000000e+000    3.000000e+000    1.260426e+000    NaN    NaN    NaN 
4.000000e+000    4.000000e+000    1.147315e+000    NaN    NaN    NaN 
4.000000e+000    5.000000e+000    1.033770e+000    NaN    NaN    NaN 
6.000000e+000    5.000000e-001    1.620561e+000    1.355533e+000    NaN    NaN 
6.000000e+000    1.000000e+000    1.464952e+000    1.250474e+000    NaN    NaN 
6.000000e+000    2.000000e+000    1.371887e+000    1.050874e+000    NaN    NaN 
6.000000e+000    3.000000e+000    1.239814e+000    NaN    NaN    NaN 
6.000000e+000    4.000000e+000    1.106470e+000    NaN    NaN    NaN 
6.000000e+000    5.000000e+000    1.000000e+000    NaN    NaN    NaN 
8.000000e+000    5.000000e-001    1.480916e+000    1.325845e+000    NaN    NaN 
8.000000e+000    1.000000e+000    1.466827e+000    1.254451e+000    NaN    NaN 
8.000000e+000    2.000000e+000    1.369020e+000    1.055010e+000    NaN    NaN 
8.000000e+000    3.000000e+000    1.235385e+000    NaN    NaN    NaN 
8.000000e+000    4.000000e+000    1.137444e+000    NaN    NaN    NaN 
8.000000e+000    5.000000e+000    1.000972e+000    NaN    NaN    NaN 
1.000000e+001    5.000000e-001    1.613476e+000    1.352866e+000    NaN    NaN 
1.000000e+001    1.000000e+000    1.468351e+000    1.251521e+000    NaN    NaN 
1.000000e+001    2.000000e+000    1.335887e+000    1.035444e+000    NaN    NaN 
1.000000e+001    3.000000e+000    1.237887e+000    NaN    NaN    NaN 
1.000000e+001    4.000000e+000    1.103914e+000    NaN    NaN    NaN 
1.000000e+001    5.000000e+000    1.000000e+000    NaN    NaN    NaN 
1.200000e+001    5.000000e-001    1.477572e+000    1.307502e+000    NaN    NaN 
1.200000e+001    1.000000e+000    1.439008e+000    1.243012e+000    NaN    NaN 
1.200000e+001    2.000000e+000    1.319764e+000    1.003174e+000    NaN    NaN 
1.200000e+001    3.000000e+000    1.211938e+000    NaN    NaN    NaN 
1.200000e+001    4.000000e+000    1.103115e+000    NaN    NaN    NaN 
1.200000e+001    5.000000e+000    1.000000e+000    NaN    NaN    NaN 
